id,group_id,weapon_id,name,desc,weapon_passive_id,hidden_effect_id,default_skill_id,weight,req_str,req_dex,req_int,req_fai,req_arq
224,2,24,Warhawk's Talon,"Talon-swords are affixed to the legs of Stormveil's warhawks, but this one has been repurposed for human use.

The blade is thin and lightweight so as not to obstruct the hawk's mobility.",-,-,Spinning Slash,3,10,16,0,0,0
225,2,25,Lazuli Glintstone Sword,"A sword with a glintstone in its handguards. Wielded by scholars of the Lazuli Conspectus who seek to master Carian sorcery.
Deals magic damage.

Apparently once used as a staff of sorcery, this sword is made of wood.",-,-,Glintstone Pebble,3.5,8,9,13,0,0
218,2,18,Carian Knight's Sword,"Straight sword embedded with a blue glintstone.
Weapon of knights sworn to Carian royalty.

These knights' swords could serve as catalysts, letting them wield sorcerous battle skills. Despite numbering fewer than twenty, this power made them a match for even the champions of gold in battle.",-,-,Carian Grandeur,4,10,10,18,0,0
215,2,15,Crystal Sword,"Sword fashioned from pure crystal; a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence. The inscrutable Crystalians have but one clear purpose; to safeguard their crystals unto the end. One theory posits that they yearn for the return of their creator who will carve for them new brethren.",-,-,Spinning Slash,4.5,13,10,15,0,0
226,2,26,Rotten Crystal Sword,"Sword fashioned from pure crystal; a deed impossible for a human.
It festers with scarlet rot.

Enwreathed with powerful magic, its attack scales with intelligence.",Causes slight scarlet rot buildup (),-,Spinning Slash,4.5,13,10,15,0,0
220,2,20,Miquellan Knight's Sword,"Sword forged by servants of Miquella of the Haligtree, with a design modeled after those carried by Carian knights. Instead of glintstone however, amber from the Haligtree is embedded in the blade.

A sumptuous piece, yet it has never been offered to any knight—an ill-starred sword with no master.",-,-,Sacred Blade,3.5,11,11,0,16,0
206,2,06,Ornamental Straight Sword,"Slender straight sword patterned after an antique ornament.
Superior swordsmen prefer to wield one in each hand.

After falling from grace, the dregs of the golden lineage sought power and purpose in the past.",-,-,Golden Tempering,3,10,14,0,0,0
207,2,07,Golden Epitaph,"A sword made to commemorate the death of Godwyn the Golden, first of the demigods to die.

Infused with the humble prayer of a young boy; ""O brother, lord brother, please die a true death.""",-,-,Last Rites,3.5,12,10,0,14,0
219,2,19,Sword of St. Trina,"Silver sword carried by clerics of St. Trina.
Inflicts sleep ailment upon foes.

St. Trina is an enigmatic figure. Some say she is a comely young girl, others are sure he is a boy. The only certainty is that their appearance was as sudden as their disappearance.",Causes sleep buildup (),-,Mists of Slumber,3,10,12,14,0,0
222,2,22,Regalia of Eochaid,"Treasured sword of Eochaid, a lesser, long-vanished domain.
The copper coloration is not to be confused for rust, but is a conduit for its wielder to move it by their will alone.

Swords of Eochaid dance through the skies.",-,-,Eochaid's Dancing Blade,5.5,12,18,0,0,15
211,2,11,Coded Sword,"Hidden sword once granted to the Tarnished of the Roundtable by the Two Fingers. A formless cipher comprises its blade, which deals holy damage no shield can repel. Champions would gather at the Roundtable Hold in days long past, when the Two Fingers were masters of oration, their flesh yet full of vigor.",-,-,Unblockable Blade,2.5,0,0,0,20,0
214,2,14,Sword of Night and Flame,"Storied sword and treasure of Caria Manor.
One of the legendary armaments.

Astrologers, who preceded the sorcerers, established themselves in mountaintops that nearly touched the sky, and considered the Fire Giants their neighbors.",-,-,Night-and-Flame Stance,4,12,12,24,24,0
300,3,00,Bastard Sword,"A large sword with a straight blade. This heavy sword is usually wielded with two hands, but for those with enough strength, one is sufficient.

The hefty blade can be swung into multiple foes
at once thanks to the broad, sweeping attack,
making fending off crowds all the easier.",-,-,Stamp (Upward Cut),9,16,10,0,0,0
318,3,18,Claymore,"A large sword with a long, straight blade. This heavy sword is usually wielded with two hands, but for those with enough strength, one is sufficient.

In addition to the heavy sweeping attacks, it can also make a heavy piercing thrust, making this a versatile weapon.",-,-,Lion's Claw,9,16,13,0,0,0
302,3,02,Iron Greatsword,"Greatsword with a blade of unusually thick steel.
A coarse weapon to which polishing is a foreign concept.

Weighty even among others of its class, the impact of each strike is sure to be felt.",-,-,Stamp (Upward Cut),12,18,10,0,0,0
303,3,03,Lordsworn's Greatsword,"Well-crafted straight sword with an illustrious
design, wielded by regulars of a lord's army.

Though blackened and damaged by years of use, it appears to have otherwise been kept in a serviceable condition, despite the soldiers having long since lost their minds.",-,-,Stamp (Upward Cut),9,16,10,0,0,0
304,3,04,Knight's Greatsword,"Greatsword bestowed upon skilled swordsmen in the demigods' service, and yet had no rank or title.

Featuring a long grip enabling dual-handed use, this weapon was designed to dispatch larger foes. Being charged with such a duty was undoubtedly a great honor.",-,-,Stamp (Upward Cut),10,16,12,0,0,0
308,3,08,Banished Knight's Greatsword,"A finely-crafted greatsword intricately engraved with an ancient motif.
Given to knights who, whether by misfortune or misdeed, were forced to abandon their homes.
Most of these knights were sent to the fringes, where they were forced to start anew with only despair for company.",-,-,Stamp (Upward Cut),10,17,9,0,0,0
301,3,01,Forked Greatsword,"Oddly shaped greatsword wielded by imps.

The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss.",Causes blood loss buildup (),-,Stamp (Upward Cut),9,14,16,0,0,0
305,3,05,Flamberge,"Greatsword featuring a flame-like undulation.
Shreds enemy flesh, inducing blood loss.

Scarlet rot is kept at bay with flame at Redmane Castle, and as such, this beloved sword of Jerren's eventually became the symbol of the castle itself.",Causes blood loss buildup (),-,Stamp (Upward Cut),10,15,14,0,0,0
319,3,19,Gargoyle's Greatsword,"Bronze greatsword wielded by Valiant Gargoyles.

Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions.",-,-,Vacuum Slice,11.5,18,10,0,0,0
321,3,21,Gargoyle's Blackblade,"Bronze greatsword wielded by Valiant Gargoyles, mended with blackened corpse wax.
Deals holy damage.

Such is the mark of those who serve Maliketh, the Black Blade.",-,-,Corpse Wax Cutter,11.5,18,10,0,22,0
209,2,09,Inseparable Sword,"Sword forged by compounding silver and gold.
A sacred weapon to hunt Those Who Live in Death.
Deals holy damage. 

The inseparable twins found solace in the Golden Order, the only institution not to revile them as accursed beings.",-,-,Sacred Blade,10,18,18,0,20,0
316,3,16,Sword of Milos,"Sinister greatsword fashioned from a giant's backbone.
Metes out wounds like a lopsided saw-blade, and restores some FP upon defeating an enemy.

Milos was undersized for a giant, and was viewed as sullied and terribly grotesque.",Causes blood loss buildup (),Restore FP on Kill,Shriek of Milos,10,15,19,0,0,0
315,3,15,Marais Executioner's Sword,"Storied sword of House Marais, the family of executioners who presided over the Shaded Castle.
One of the legendary armaments.

Elemer of the Briar, the Bell Bearing Hunter, snatched the sword from the site of his looming execution, and furnished it with battle skills from his home of Eochaid.",-,-,Eochaid's Dancing Blade,11.5,24,14,0,0,23
306,3,06,Ordovis's Greatsword,"Greatsword of Ordovis, one of the two honored as foremost among the Crucible Knights.

This sword is imbued with an ancient holy essence.
Its red tint exemplifies the nature of primordial gold, said to be close in nature to life itself.",-,-,Ordovis's Vortex,12,25,13,0,15,0
307,3,07,Alabaster Lord's Sword,"Greatsword forged from a blue-white meteoric ore.
The blade conceals gravity-manipulating magic.

A weapon unique to the Alabaster Lords, a race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago.",-,-,Alabaster Lords' Pull,8,16,12,18,0,0
320,3,20,Death's Poker,"Barbed rod carried by Deathbirds.

The birds are graveyard fire keepers; it is said they rake out the ashen remains of the dead from their kilns.",Causes frost buildup (),-,Ghostflame Ignition,8.5,15,17,11,0,0
313,3,13,Helphen's Steeple,"Greatsword patterned after the black steeple of the Helphen, the lampwood which guides the dead of the spirit world.

The lamplight is similar to grace in appearance, only it is said that it can only be seen by those who met their death in battle.",-,-,Ruinous Ghostflame,11.5,19,10,22,0,0
314,3,14,Blasphemous Blade,"Sacred sword of Rykard, Lord of Blasphemy.
Remains of the countless heroes he has devoured writhe upon the surface of this blade.

Now they share the same blood, bound together as family.
Some HP is restored upon defeating an enemy.",-,Restore HP on Kill,Taker's Flames,13.5,22,15,0,21,0
317,3,17,Golden Order Greatsword,"Greatsword made of light, modeled after the Elden Ring itself. Forged by King Consort Radagon to proudly
symbolize the tenets of the Golden Order.
One of the legendary armaments.

Telltale signs betray that this was once the greatsword bequeathed to him by his first wife, Rennala.",-,-,Establish Order,10,16,21,0,28,0
309,3,09,Dark Moon Greatsword,"A Moon Greatsword, bestowed by a Carian queen upon her spouse to honor long-standing tradition.
One of the legendary armaments.

Ranni's sigil is a full moon, cold and leaden, and this sword is but a beam of its light.",Causes frost buildup (),-,Moonlight Greatsword,10,16,11,38,0,0
310,3,10,Sacred Relic Sword,"Sword wrought from the remains of a god who should have lived a life eternal.

Thoughts on what the weapon portends are many and varied. Some consider it the mark of a great sin, or a sign of great devastation. Some think it as the end of an age, while others; the beginning.",-,-,Wave of Gold,11,14,24,0,22,0
404,4,04,Zweihander,"Just about the largest sword a mere man is capable of swinging.
True to its name, it is designed to be wielded in both hands, but those of merely ordinary strength will still struggle to do so.

The long blade is heavy and sharp, sending foes reeling back with its broader strokes, while also capable of a devastating piercing thrust.",-,-,Stamp (Upward Cut),15.5,19,11,0,0,0
400,4,00,Greatsword,"A coarse iron lump of an ultra greatsword.
Mows down foes by utilizing its incredible weight.

Though handling it likely requires the wielder to have surpassed the realm of the merely human, it is precisely for this reason the weapon is used to slaughter even inhuman foes.",-,-,Stamp (Upward Cut),23,31,12,0,0,0
401,4,01,Watchdog's Greatsword,"Stone greatsword wielded by Erdtree Burial Watchdogs.

Though decorated with the watchman's eye, the pupil was taken by graverobbers and is now hollow, leaving this sword a mere lump of stone.",-,-,Stamp (Upward Cut),22,30,10,0,0,0
403,4,03,Troll's Golden Sword,"Sword given to the lesser giants who fought for the Erdtree during the War against the Giants long ago.

Though they have lost their minds, they stay inseparable from their swords that are in sad shape—such that the gold plating had flaked away.",-,-,Troll's Roar,19,29,10,0,0,0
411,4,11,Troll Knight's Sword,"Greatsword embedded with a blue glintstone.
Weapon of the trolls in service to the royal family of Caria. Called into service when the Queen invoked an oath they swore, the trolls are treated as true knights of Caria, and fight arm in arm with their human comrades.",-,-,Troll's Roar,18,20,14,18,0,0
406,4,06,Royal Greatsword,"Greatsword decorated in royal Carian style.
Favored weapon of Blaidd the Half-Wolf.

In defiance of the fate he was born to, Blaidd swore to serve no master but Ranni. As proof, the sword was imbued with a cold magic at the moment the oath was sworn.",-,-,Wolf's Assault,20,26,18,22,0,0
410,4,10,Grafted Blade Greatsword,"The storied sword of Castle Morne. A revenger's weapon, it is burdened with oceans of anger and regret.
One of the legendary armaments.

A lone surviving champion from a country now vanished was so determined to continue fighting that he claimed the swords of an entire clan of warriors.",-,-,Oath of Vengeance,21,40,14,0,0,0
408,4,08,Ruins Greatsword,"Originally rubble from a ruin which fell from the sky, this surviving fragment was honed into a weapon.
One of the legendary armaments.

The ruin it came from crumbled when struck by a meteorite, as such this weapon harbors its destructive power.",-,-,Wave of Destruction,23,50,0,16,0,0
405,4,05,Starscourge Greatsword,"Curved greatswords of black steel wielded by General Radahn.
A pair of weapons decorated with a lion mane motif.

Radahn earned considerable renown as the Starscourge in his youth, and it is said that it was during this time he engraved the gravity crest upon these blades.",-,-,Starcaller Cry,20,38,12,15,0,0
407,4,07,Godslayer's Greatsword,"Sacred sword of the Gloam-Eyed Queen who controlled the Godskin Apostles before her defeat at the hands of Maliketh.

The black flames wielded by the apostles are channeled from this sword.",-,-,The Queen's Black Flame,17.5,20,22,0,20,0
402,4,02,Maliketh's Black Blade,"Maliketh's black blade which once harbored the power of the Rune of Death. A sad shadow of its former glory.

After a fragment of Death was stolen on that fateful night, Maliketh bound the blade within his own flesh, such that none might ever rob Death again.",-,-,Destined Death,22,34,12,0,20,0
502,5,02,Rapier,"A piercing sword with a sharp, slender blade.
In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield.

As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,Impaling Thrust,2.5,7,12,0,0,0
500,5,00,Estoc,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks.

For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,Impaling Thrust,4.5,11,13,0,0,0
506,5,06,Noble's Estoc,"Estoc carried by wandering nobles.
Made to be easy to wield.

Daubed with gold from tip to tail, it should fetch a good sum.",-,-,Impaling Thrust,3.5,9,10,0,0,0
501,5,01,Cleanrot Knight's Sword,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella.

Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,Impaling Thrust,4,11,13,0,0,0
503,5,03,Rogier's Rapier,"Piercing sword of superior quality, featuring intricate ornamentation.
Signature weapon of the sorcerer Rogier.

High dexterity is required to wield the blade to its full potential, but mastery is a sight to behold, characterized by a flowing style which excels in successive attacks.",-,-,Repeating Thrust,3.5,8,17,0,0,0
504,5,04,Antspur Rapier,"Spur of a giant ant which has been fashioned into a rapier. The blade drips with scarlet rot.

Scarlet rot is an old legend, of which Maleigh Marais of the Shaded Castle was a private believer. And indeed, he eventually found his own personal goddess.",Causes scarlet rot buildup (),-,Impaling Thrust,3,10,20,0,0,0
505,5,05,Frozen Needle,"A razor-thin piercing blade of ice.
Forged by Iji, the Carian Royal Blacksmith.

Can inflict frost upon enemies, and launch its blade with a strong attack. The blade immediately regenerates.",Causes frost buildup (),-,Impaling Thrust,2.5,11,18,0,0,0
602,6,02,Great Épée,"Large rapier featuring a thin, sharp blade.
Commonly used in life or death duels.

Like its smaller counterparts, it is made for thrusting attacks, and can be used while guarding with a shield.",-,-,Impaling Thrust,6.5,15,16,0,0,0
601,6,01,Godskin Stitcher,"Elegant piercing sword with a celadon colored blade wielded by Godskin Nobles.

The nobles possess skill with the sword unmatched by any lowborn. Despite its size, successive attacks from this weapon are swifter than the eye can follow.",-,-,Impaling Thrust,7,14,17,0,0,0
600,6,00,Bloody Helice,"Ominous piercing sword with a winding blade.
Carried by the noble servants of the Lord of Blood.

Designed to bore into flesh, causing severe blood loss at the wound. The extracted blood trickles gracefully down the length of the blade.",Causes blood loss buildup (),-,Dynast's Finesse,8,16,19,0,0,17
604,6,04,Dragon King's Cragblade,"Piercing Gravel Stone sword containing primeval lightning.
A portion of the Dragonlord's power, gained from a remembrance.

This weapon commands great power over the paltry, mortal dragons of today.",-,-,Thundercloud Form,8,18,37,0,0,0
714,7,14,Scimitar,"A curved sword with a single-sided blade.
Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales.

Smaller in size than most curved swords, it carves into enemies with quick, sharp cuts.",-,-,Spinning Slash,3,7,13,0,0,0
700,7,00,Falchion,"A curved sword with a single-sided blade.
Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales.

Wielders of the weapon employ a unique style that enhances attacks with spinning motions.",-,-,Spinning Slash,3.5,9,13,0,0,0
703,7,03,Shamshir,"Curved sword with a thin blade of ample length.
Light of weight despite its larger size, its slicing attacks come in rapid succession.

A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,Spinning Slash,3.5,7,13,0,0,0
715,7,15,Grossmesser,"Curved sword boasting a large blade.
This weapon is designed to make use of its weight in combination with its sharp cutting edge.

A thoroughly reliable choice of weapon for those who can master its particulars.",-,-,Spinning Slash,4.5,14,12,0,0,0
704,7,04,Bandit's Curved Sword,"Curved sword with a light, crescent-shaped blade.
Used by the bandits who ran rampant in the wake of the Shattering.

Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,Spinning Slash,5,11,13,0,0,0
702,7,02,Shotel,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard.

Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,Spinning Slash,2,9,19,0,0,0
708,7,08,Scavenger's Curved Sword,"Unique curved sword, notched like shark's teeth.
Weapon carried by corpse pillagers who prowl the sites of old battles.

The blade is tacky with blood and covered in hefty nicks, making it totally uneven. Life can be sinister indeed.",Causes blood loss buildup (),-,Spinning Slash,3.5,9,14,0,0,0
712,7,12,Mantis Blade,"A curved sword with a blade at both ends wielded by the Cemetery Shades, the insect-ridden grave keepers.

The blade is thin and sharp, and strong attack unleashes a far-reaching slash.",-,-,Spinning Slash,4,10,12,0,0,0
701,7,01,Beastman's Curved Sword,"Curved sword forged of dull iron wielded by the beastmen of Farum Azula.

The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.",-,-,Spinning Slash,4,13,11,0,0,0
706,7,06,Flowing Curved Sword,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water.

Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,Spinning Slash,3.5,9,17,0,0,0
711,7,11,Serpent-God's Curved Sword,"Curved sword fashioned in the image of an ancient serpent deity and tool of a forgotten religion practiced on Mt. Gelmir.

Formerly used to offer up sacrifices, this sword restores HP upon slaying an enemy.",-,Restore HP on Kill,Spinning Slash,4,13,9,0,0,0
705,7,05,Magma Blade,"Curved sword with a blade fashioned from the lava of Mt. Gelmir.
An armament of the man-serpents, impossible for a human to have made.

Deals fire damage.",-,-,Magma Shower,4,9,15,0,16,0
208,2,08,Nox Flowing Sword,"A grim weapon wielded by swordsmen of the Eternal City, this shotel has a blade as fine as a needle.

Forged from the liquid metal of a Silver Tear, it is thoroughly tempered until hardened. ",-,-,Flowing Form,3.5,8,15,0,0,0
707,7,07,Wing of Astel,"Sword fashioned from a delicate wing, suffused with the magic of the stars.
Strong attack unleashes a wave of enchanted light.

Crafted from a relic of the Naturalborn of the Void who is said to have assailed the Eternal City.",-,-,Nebula,2.5,7,17,20,0,0
710,7,10,Eclipse Shotel,"Storied sword and treasure of Castle Sol that depicts an eclipsed sun drained of color.
One of the legendary armaments.

In Sol, the sight of an eclipse inspires a dreadful awe, preventing an onlooker from averting his gaze.",-,-,Death Flare,3,10,25,0,30,0
802,8,02,Dismounter,"This curved greatsword wielded by the brawny sellswords of Kaiden combines the blade of a scimitar with the heft of a hatchet.

A difficult to handle weapon that demands much of the wielder's strength and dexterity, but with practice and ability, it can serve as a versatile weapon even on horseback.",-,-,Spinning Slash,10,19,16,0,0,0
806,8,06,Omen Cleaver,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,Spinning Slash,11.5,19,16,0,0,0
807,8,07,Monk's Flameblade,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,Spinning Slash,9,18,18,0,0,0
808,8,08,Beastman's Cleaver,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,Spinning Slash,16.5,25,14,0,0,0
803,8,03,Bloodhound's Fang,"Curved greatsword with a gently undulating blade wielded by Bloodhound Knights.

A fearsome blade capable of brutal airborne attacks.",Causes blood loss buildup (),-,Bloodhound's Finesse,11.5,18,17,0,0,0
801,8,01,Onyx Lord's Greatsword,"Greatsword forged from golden-hued meteoric ore.
The blade conceals gravity-manipulating magic.

A weapon unique to the Onyx Lords, a race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago.",-,-,Onyx Lords' Repulsion,11.5,20,16,16,0,0
805,8,05,Zamor Curved Sword,"Weapon wielded by the knights of Zamor who earned great renown during the War against the Giants.

In apparent devotion to winter, the curved blade is styled after an icy wind and imbued with a powerful frost effect.",Causes frost buildup (),-,Zamor Ice Storm,9,16,18,0,0,0
804,8,04,Magma Wyrm's Scalesword,"Curved greatsword wielded by Magma Wyrms. The shape resembles a dragon's jaw and is covered in hard scales.

It's said these land-bound dragons were once human heroes who partook in dragon communion, a grave transgression for which they were cursed to crawl the earth upon their bellies, shadows of their former selves.",-,-,Magma Guillotine,15,24,15,0,18,0
810,8,10,Morgott's Cursed Sword,"Warped blade of shifting hue used by Morgott, the Omen King.

The accursed blood that Morgott recanted and sealed away reformed into this blade.",Causes blood loss buildup (),-,Cursed-Blood Slice,7.5,14,35,0,0,17
900,9,00,Uchigatana,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,Unsheathe,5.5,11,15,0,0,0
901,9,01,Nagakiba,"Katana with a ferociously long blade.
Signature weapon of Yura, hunter of Bloody Fingers.

Reminiscent of a reinforced spear, its imposing length can be put to good use with powerful thrusting attacks.",Causes blood loss buildup (),-,Unsheathe,7,18,22,0,0,0
908,9,08,Serpentbone Blade,"Sinister katana modeled after a serpent bone.

The densely packed row of spines that jut away from the cutting edge are coated in a lethal poison.",Causes poison buildup (),-,Double Slash,6,11,22,0,0,0
903,9,03,Meteoric Ore Blade,"Katana forged from meteoric ore to dispatch lifeforms born of falling stars.
Deals magic damage.

The blade is weighty, known to deliver slashes of such ferocity that the impact is said to resemble the crash of a falling meteor.",Causes blood loss buildup (),-,Gravitas,7.5,15,14,18,0,0
906,9,06,Moonveil,"Katana forged of glintstone.
Masterpiece of a Sellian swordsmith.

Light enwreathes the blade when sheathed, explaining its Moonveil moniker.",Causes blood loss buildup (),-,Transient Moonlight,6.5,12,18,23,0,0
904,9,04,Rivers of Blood,"Weapon of Okina, swordsman from the Land of Reeds.
A cursed weapon that has felled countless men.

When Mohg, the Lord of Blood, first felt Okina's sword, and madness, upon his flesh, he had a proposal, to offer Okina the life of a demon, whose thirst would never go unsated.",Causes blood loss buildup (),-,Corpse Piler,6.5,12,18,0,0,20
907,9,07,Dragonscale Blade,"A weapon made by sharpening a Gravel Stone scale, thought to be the source of ancient dragon immortality, into an unclouded blade.

Alas, the Dragonkin Soldiers never attained immortality, and perished as decrepit, pale imitations of their skyborn kin.",-,-,Ice Lightning Sword,5.5,12,20,0,0,0
902,9,02,Hand of Malenia,"Blade built into Malenia's prosthetic arm.
Through consecration it is resistant to rot.

Malenia's war prosthesis symbolized her victories.
Some claim to have seen wings when the weapon was raised aloft; wings of fierce determination that have never known defeat.",Causes blood loss buildup (),-,Waterfowl Dance,7,16,48,0,0,0
