id,group_id,name,description,weapon_passive_id,hidden_effect_id,default_skill_id,weight,req_str,req_dex,req_int,req_fai,req_arc,image_url
22,2,Ornamental Straight Sword,"Slender straight sword patterned after an antique ornament.
Superior swordsmen prefer to wield one in each hand.

After falling from grace, the dregs of the golden lineage sought power and purpose in the past.",,,10,3,10,14,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69523142l0i1pm7iurzr5rt7vpb.png
23,2,Golden Epitaph,"A sword made to commemorate the death of Godwyn the Golden, first of the demigods to die.

Infused with the humble prayer of a young boy; ""O brother, lord brother, please die a true death.""",,,11,3.5,12,10,0,14,0,https://eldenring.fanapis.com/images/weapons/17f697020ddl0i1pm0mkycj3pyzli7.png
24,3,Nox Flowing Sword,"A grim weapon wielded by swordsmen of the Eternal City, this shotel has a blade as fine as a needle.

Forged from the liquid metal of a Silver Tear, it is thoroughly tempered until hardened. ",,,12,3.5,8,15,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69913ab4l0i1otlpefqm0g08exp.png
25,4,Inseparable Sword,"Sword forged by compounding silver and gold.
A sacred weapon to hunt Those Who Live in Death.
Deals holy damage. 

The inseparable twins found solace in the Golden Order, the only institution not to revile them as accursed beings.",,,13,10,18,18,0,20,0,
26,2,Coded Sword,"Hidden sword once granted to the Tarnished of the Roundtable by the Two Fingers. A formless cipher comprises its blade, which deals holy damage no shield can repel. Champions would gather at the Roundtable Hold in days long past, when the Two Fingers were masters of oration, their flesh yet full of vigor.",,,14,2.5,0,0,0,20,0,https://eldenring.fanapis.com/images/weapons/17f69d1c283l0i1pm7km9k4n9hesqp.png
27,2,Sword of Night and Flame,"Storied sword and treasure of Caria Manor.
One of the legendary armaments.

Astrologers, who preceded the sorcerers, established themselves in mountaintops that nearly touched the sky, and considered the Fire Giants their neighbors.",,,15,4,12,12,24,24,0,https://eldenring.fanapis.com/images/weapons/17f69dcdeb9l0i1pmay6pw29q0kz9j.png
28,2,Crystal Sword,"Sword fashioned from pure crystal; a deed impossible for a human. Enwreathed with powerful magic, its attack scales with intelligence. The inscrutable Crystalians have but one clear purpose; to safeguard their crystals unto the end. One theory posits that they yearn for the return of their creator who will carve for them new brethren.",,,16,4.5,13,10,15,0,0,https://eldenring.fanapis.com/images/weapons/17f69b32328l0i1pmuqj0u81mxsett.png
29,2,Carian Knight's Sword,"Straight sword embedded with a blue glintstone.
Weapon of knights sworn to Carian royalty.

These knights' swords could serve as catalysts, letting them wield sorcerous battle skills. Despite numbering fewer than twenty, this power made them a match for even the champions of gold in battle.",,,17,4,10,10,18,0,0,https://eldenring.fanapis.com/images/weapons/17f69b44345l0i1pmq6va882h9uvf.png
30,2,Sword of St. Trina,"Silver sword carried by clerics of St. Trina.
Inflicts sleep ailment upon foes.

St. Trina is an enigmatic figure. Some say she is a comely young girl, others are sure he is a boy. The only certainty is that their appearance was as sudden as their disappearance.",5,,18,3,10,12,14,0,0,
31,2,Miquellan Knight's Sword,"Sword forged by servants of Miquella of the Haligtree, with a design modeled after those carried by Carian knights. Instead of glintstone however, amber from the Haligtree is embedded in the blade.

A sumptuous piece, yet it has never been offered to any knight—an ill-starred sword with no master.",,,13,3.5,11,11,0,16,0,https://eldenring.fanapis.com/images/weapons/17f69aa244al0i1pmyf54x5qm8xb1r.png
32,2,Cane Sword,"Beloved sword of an aged knight whose last quest was long behind him, repurposed into a walking stick. The tip is rather worn.

Though bent of back and without the brawn required even to raise the sword aloft, still he wished to meet his end with weapon in hand. ",,,8,2.5,8,11,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6997d3a3l0i1pn2970lts73cbnn.png
33,2,Regalia of Eochaid,"Treasured sword of Eochaid, a lesser, long-vanished domain.
The copper coloration is not to be confused for rust, but is a conduit for its wielder to move it by their will alone.

Swords of Eochaid dance through the skies.",,,19,5.5,12,18,0,0,15,https://eldenring.fanapis.com/images/weapons/17f69d2e16cl0i1pndl0cqdeg1df40a.png
34,2,Noble's Slender Sword,"Narrow blade carried by wandering nobles.
Made to be easy to wield.

Daubed with gold from tip to tail, it should fetch a good sum.",,,8,3.5,8,11,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6976fa7el0i1pnla0wdjcpf4iqvm.png
35,2,Warhawk's Talon,"Talon-swords are affixed to the legs of Stormveil's warhawks, but this one has been repurposed for human use.

The blade is thin and lightweight so as not to obstruct the hawk's mobility.",,,16,3,10,16,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69b005b3l0i1pnmcmlgow749t19.png
36,2,Lazuli Glintstone Sword,"A sword with a glintstone in its handguards. Wielded by scholars of the Lazuli Conspectus who seek to master Carian sorcery.
Deals magic damage.

Apparently once used as a staff of sorcery, this sword is made of wood.",,,20,3.5,8,9,13,0,0,https://eldenring.fanapis.com/images/weapons/17f697a64ccl0i1pnuagdt1sfmx0pk.png
37,2,Rotten Crystal Sword,"Sword fashioned from pure crystal; a deed impossible for a human.
It festers with scarlet rot.

Enwreathed with powerful magic, its attack scales with intelligence.",6,,16,4.5,13,10,15,0,0,https://eldenring.fanapis.com/images/weapons/17f69d445cel0i1pnsmtteechmemmd.png
38,4,Bastard Sword,"A large sword with a straight blade. This heavy sword is usually wielded with two hands, but for those with enough strength, one is sufficient.

The hefty blade can be swung into multiple foes
at once thanks to the broad, sweeping attack,
making fending off crowds all the easier.",,,21,9,16,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69a8d915l0i1p4kqv889wy4d4vc.png
39,4,Forked Greatsword,"Oddly shaped greatsword wielded by imps.

The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss.",3,,21,9,14,16,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6995269el0i1p4oqujogklpkccd.png
40,4,Iron Greatsword,"Greatsword with a blade of unusually thick steel.
A coarse weapon to which polishing is a foreign concept.

Weighty even among others of its class, the impact of each strike is sure to be felt.",,,21,12,18,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f698d80fal0i1p4tl3fnkays6xcs.png
41,4,Lordsworn's Greatsword,"Well-crafted straight sword with an illustrious
design, wielded by regulars of a lord's army.

Though blackened and damaged by years of use, it appears to have otherwise been kept in a serviceable condition, despite the soldiers having long since lost their minds.",,,21,9,16,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69c84a0fl0i1p53njeg78jpm83g.png
42,4,Knight's Greatsword,"Greatsword bestowed upon skilled swordsmen in the demigods' service, and yet had no rank or title.

Featuring a long grip enabling dual-handed use, this weapon was designed to dispatch larger foes. Being charged with such a duty was undoubtedly a great honor.",,,21,10,16,12,0,0,0,https://eldenring.fanapis.com/images/weapons/17f696c3869l0i1p57ui4dkke1j2lb.png
43,4,Flamberge,"Greatsword featuring a flame-like undulation.
Shreds enemy flesh, inducing blood loss.

Scarlet rot is kept at bay with flame at Redmane Castle, and as such, this beloved sword of Jerren's eventually became the symbol of the castle itself.",3,,21,10,15,14,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69958ad2l0i1p5cvrojl4ty52zs.png
44,4,Ordovis's Greatsword,"Greatsword of Ordovis, one of the two honored as foremost among the Crucible Knights.

This sword is imbued with an ancient holy essence.
Its red tint exemplifies the nature of primordial gold, said to be close in nature to life itself.",,,22,12,25,13,0,15,0,https://eldenring.fanapis.com/images/weapons/17f69914456l0i1p5gc8d6bi642ubp.png
45,4,Alabaster Lord's Sword,"Greatsword forged from a blue-white meteoric ore.
The blade conceals gravity-manipulating magic.

A weapon unique to the Alabaster Lords, a race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago.",,,23,8,16,12,18,0,0,https://eldenring.fanapis.com/images/weapons/17f69a3766al0i1p5jn27ea0xazje3.png
46,4,Banished Knight's Greatsword,"A finely-crafted greatsword intricately engraved with an ancient motif.
Given to knights who, whether by misfortune or misdeed, were forced to abandon their homes.
Most of these knights were sent to the fringes, where they were forced to start anew with only despair for company.",,,21,10,17,9,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6961c7efl0i1p5tbamvedpnmzx4.png
47,4,Dark Moon Greatsword,"A Moon Greatsword, bestowed by a Carian queen upon her spouse to honor long-standing tradition.
One of the legendary armaments.

Ranni's sigil is a full moon, cold and leaden, and this sword is but a beam of its light.",1,,24,10,16,11,38,0,0,https://eldenring.fanapis.com/images/weapons/17f69aa76b3l0i1p5w4xa7tbhq0qit.png
48,4,Sacred Relic Sword,"Sword wrought from the remains of a god who should have lived a life eternal.

Thoughts on what the weapon portends are many and varied. Some consider it the mark of a great sin, or a sign of great devastation. Some think it as the end of an age, while others; the beginning.",,,25,11,14,24,0,22,0,https://eldenring.fanapis.com/images/weapons/17f6971ad09l0i1p698i6hg5fqq3ir.png
49,4,Helphen's Steeple,"Greatsword patterned after the black steeple of the Helphen, the lampwood which guides the dead of the spirit world.

The lamplight is similar to grace in appearance, only it is said that it can only be seen by those who met their death in battle.",,,26,11.5,19,10,22,0,0,https://eldenring.fanapis.com/images/weapons/17f69a34499l0i1p69mtmqzfrxa7b.png
50,4,Blasphemous Blade,"Sacred sword of Rykard, Lord of Blasphemy.
Remains of the countless heroes he has devoured writhe upon the surface of this blade.

Now they share the same blood, bound together as family.
Some HP is restored upon defeating an enemy.",,28,27,13.5,22,15,0,21,0,https://eldenring.fanapis.com/images/weapons/17f69a18c12l0i1p6irjv6m8ue2f5.png
51,4,Marais Executioner's Sword,"Storied sword of House Marais, the family of executioners who presided over the Shaded Castle.
One of the legendary armaments.

Elemer of the Briar, the Bell Bearing Hunter, snatched the sword from the site of his looming execution, and furnished it with battle skills from his home of Eochaid.",,,19,11.5,24,14,0,0,23,https://eldenring.fanapis.com/images/weapons/17f69af1239l0i1p6tbsakd85i69of.png
52,4,Sword of Milos,"Sinister greatsword fashioned from a giant's backbone.
Metes out wounds like a lopsided saw-blade, and restores some FP upon defeating an enemy.

Milos was undersized for a giant, and was viewed as sullied and terribly grotesque.",3,29,28,10,15,19,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6998ff30l0i1p6uu73zw546f13u.png
53,4,Golden Order Greatsword,"Greatsword made of light, modeled after the Elden Ring itself. Forged by King Consort Radagon to proudly
symbolize the tenets of the Golden Order.
One of the legendary armaments.

Telltale signs betray that this was once the greatsword bequeathed to him by his first wife, Rennala.",,,29,10,16,21,0,28,0,https://eldenring.fanapis.com/images/weapons/17f69c19b1al0i1p77ig6czaoxosd.png
54,4,Claymore,"A large sword with a long, straight blade. This heavy sword is usually wielded with two hands, but for those with enough strength, one is sufficient.

In addition to the heavy sweeping attacks, it can also make a heavy piercing thrust, making this a versatile weapon.",,,30,9,16,13,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69d938dal0i1p7cva71qgpwuo6w.png
55,4,Gargoyle's Greatsword,"Bronze greatsword wielded by Valiant Gargoyles.

Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions.",,,31,11.5,18,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69d64ed7l0i1p7jmmtge0ag3i4.png
56,4,Death's Poker,"Barbed rod carried by Deathbirds.

The birds are graveyard fire keepers; it is said they rake out the ashen remains of the dead from their kilns.",1,,32,8.5,15,17,11,0,0,https://eldenring.fanapis.com/images/weapons/17f69d8a812l0i1p7s9xmq3zqql69.png
57,4,Gargoyle's Blackblade,"Bronze greatsword wielded by Valiant Gargoyles, mended with blackened corpse wax.
Deals holy damage.

Such is the mark of those who serve Maliketh, the Black Blade.",,,33,11.5,18,10,0,22,0,https://eldenring.fanapis.com/images/weapons/17f69d4d41el0i1p7vs0vjortsg7oc.png
58,5,Greatsword,"A coarse iron lump of an ultra greatsword.
Mows down foes by utilizing its incredible weight.

Though handling it likely requires the wielder to have surpassed the realm of the merely human, it is precisely for this reason the weapon is used to slaughter even inhuman foes.",,,21,23,31,12,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6974feb9l0i1olnp61dvex8ugut.png
59,5,Watchdog's Greatsword,"Stone greatsword wielded by Erdtree Burial Watchdogs.

Though decorated with the watchman's eye, the pupil was taken by graverobbers and is now hollow, leaving this sword a mere lump of stone.",,,21,22,30,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69c91071l0i1olmq0iokptn3hftg.png
60,5,Maliketh's Black Blade,"Maliketh's black blade which once harbored the power of the Rune of Death. A sad shadow of its former glory.

After a fragment of Death was stolen on that fateful night, Maliketh bound the blade within his own flesh, such that none might ever rob Death again.",,,34,22,34,12,0,20,0,https://eldenring.fanapis.com/images/weapons/17f6946481al0i1olr8v9h8hxdx439.png
61,5,Troll's Golden Sword,"Sword given to the lesser giants who fought for the Erdtree during the War against the Giants long ago.

Though they have lost their minds, they stay inseparable from their swords that are in sad shape—such that the gold plating had flaked away.",,,35,19,29,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69d62fd0l0i1olqu110xlsqhiuo.png
62,5,Zweihander,"Just about the largest sword a mere man is capable of swinging.
True to its name, it is designed to be wielded in both hands, but those of merely ordinary strength will still struggle to do so.

The long blade is heavy and sharp, sending foes reeling back with its broader strokes, while also capable of a devastating piercing thrust.",,,21,15.5,19,11,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69848f3fl0i1olspoavxf69m81b.png
63,5,Starscourge Greatsword,"Curved greatswords of black steel wielded by General Radahn.
A pair of weapons decorated with a lion mane motif.

Radahn earned considerable renown as the Starscourge in his youth, and it is said that it was during this time he engraved the gravity crest upon these blades.",,,36,20,38,12,15,0,0,https://eldenring.fanapis.com/images/weapons/17f69d917e2l0i1omllp8sfqfor6g.png
64,5,Royal Greatsword,"Greatsword decorated in royal Carian style.
Favored weapon of Blaidd the Half-Wolf.

In defiance of the fate he was born to, Blaidd swore to serve no master but Ranni. As proof, the sword was imbued with a cold magic at the moment the oath was sworn.",,,37,20,26,18,22,0,0,https://eldenring.fanapis.com/images/weapons/17f695e24bel0i1omb3kpapbx2zhn.png
65,5,Godslayer's Greatsword,"Sacred sword of the Gloam-Eyed Queen who controlled the Godskin Apostles before her defeat at the hands of Maliketh.

The black flames wielded by the apostles are channeled from this sword.",,,38,17.5,20,22,0,20,0,https://eldenring.fanapis.com/images/weapons/17f69814033l0i1omfg9fbsxwonld.png
66,5,Ruins Greatsword,"Originally rubble from a ruin which fell from the sky, this surviving fragment was honed into a weapon.
One of the legendary armaments.

The ruin it came from crumbled when struck by a meteorite, as such this weapon harbors its destructive power.",,,39,23,50,0,16,0,0,https://eldenring.fanapis.com/images/weapons/17f69695544l0i1omj4kim8sh6j5xh.png
67,5,Grafted Blade Greatsword,"The storied sword of Castle Morne. A revenger's weapon, it is burdened with oceans of anger and regret.
One of the legendary armaments.

A lone surviving champion from a country now vanished was so determined to continue fighting that he claimed the swords of an entire clan of warriors.",,,40,21,40,14,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69ba4b74l0i1omi90yu0wdq7oxu.png
68,5,Troll Knight's Sword,"Greatsword embedded with a blue glintstone.
Weapon of the trolls in service to the royal family of Caria. Called into service when the Queen invoked an oath they swore, the trolls are treated as true knights of Caria, and fight arm in arm with their human comrades.",,,35,18,20,14,18,0,0,https://eldenring.fanapis.com/images/weapons/17f694bf77bl0i1on5kwkodf1d6fkp.png
69,6,Estoc,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks.

For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",,,41,4.5,11,13,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69747395l0i1po2ze4jsp35ms3t.png
70,6,Cleanrot Knight's Sword,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella.

Mainly used as a backup weapon, in combination with a long-handled armament.",,,41,4,11,13,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6990b8f9l0i1poeub82lv32r18o.png
71,6,Rapier,"A piercing sword with a sharp, slender blade.
In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield.

As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",,,41,2.5,7,12,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69c6c09el0i1poegki2ecno2vw.png
72,6,Rogier's Rapier,"Piercing sword of superior quality, featuring intricate ornamentation.
Signature weapon of the sorcerer Rogier.

High dexterity is required to wield the blade to its full potential, but mastery is a sight to behold, characterized by a flowing style which excels in successive attacks.",,,6,3.5,8,17,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69d58854l0i1pom1ferfthsgsd.png
73,6,Antspur Rapier,"Spur of a giant ant which has been fashioned into a rapier. The blade drips with scarlet rot.

Scarlet rot is an old legend, of which Maleigh Marais of the Shaded Castle was a private believer. And indeed, he eventually found his own personal goddess.",4,,41,3,10,20,0,0,0,https://eldenring.fanapis.com/images/weapons/17f697b4c08l0i1pomqr1pxcel70uf.png
74,6,Frozen Needle,"A razor-thin piercing blade of ice.
Forged by Iji, the Carian Royal Blacksmith.

Can inflict frost upon enemies, and launch its blade with a strong attack. The blade immediately regenerates.",1,,41,2.5,11,18,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69a8a231l0i1potleffsoj8ycfb.png
75,6,Noble's Estoc,"Estoc carried by wandering nobles.
Made to be easy to wield.

Daubed with gold from tip to tail, it should fetch a good sum.",,,41,3.5,9,10,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6999d8b5l0i1pp5phyiipgx4eoi.png
76,7,Bloody Helice,"Ominous piercing sword with a winding blade.
Carried by the noble servants of the Lord of Blood.

Designed to bore into flesh, causing severe blood loss at the wound. The extracted blood trickles gracefully down the length of the blade.",3,,42,8,16,19,0,0,17,https://eldenring.fanapis.com/images/weapons/17f69987c03l0i1pdyutp139wmu1sh.png
77,7,Godskin Stitcher,"Elegant piercing sword with a celadon colored blade wielded by Godskin Nobles.

The nobles possess skill with the sword unmatched by any lowborn. Despite its size, successive attacks from this weapon are swifter than the eye can follow.",,,41,7,14,17,0,0,0,https://eldenring.fanapis.com/images/weapons/17f6969f10el0i1pecne5vzed6lx56.png
78,7,Great Épée,"Large rapier featuring a thin, sharp blade.
Commonly used in life or death duels.

Like its smaller counterparts, it is made for thrusting attacks, and can be used while guarding with a shield.",,,41,6.5,15,16,0,0,0,https://eldenring.fanapis.com/images/weapons/17f696cbcb2l0i1pe89fm2alskh2df.png
79,7,Dragon King's Cragblade,"Piercing Gravel Stone sword containing primeval lightning.
A portion of the Dragonlord's power, gained from a remembrance.

This weapon commands great power over the paltry, mortal dragons of today.",,,43,8,18,37,0,0,0,https://eldenring.fanapis.com/images/weapons/17f699a14b1l0i1pekzisiwkpul53i.png
80,3,Falchion,"A curved sword with a single-sided blade.
Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales.

Wielders of the weapon employ a unique style that enhances attacks with spinning motions.",,,16,3.5,9,13,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69ccaa4al0i1orhsuhv0ll0uko.png
81,3,Beastman's Curved Sword,"Curved sword forged of dull iron wielded by the beastmen of Farum Azula.

The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.",,,16,4,13,11,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69d22df5l0i1os1vzj7jka683f.png
82,3,Shotel,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard.

Made to hunt down humans, this weapon requires high dexterity to wield effectively.",,,16,2,9,19,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69498ae3l0i1os4m19u5e478yu2.png
83,3,Shamshir,"Curved sword with a thin blade of ample length.
Light of weight despite its larger size, its slicing attacks come in rapid succession.

A devastatingly powerful weapon in the hands of a skilled swordsman.",,,16,3.5,7,13,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69cbbed5l0i1orz2seh3xldf6b.png
84,3,Bandit's Curved Sword,"Curved sword with a light, crescent-shaped blade.
Used by the bandits who ran rampant in the wake of the Shattering.

Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",,,16,5,11,13,0,0,0,
85,3,Magma Blade,"Curved sword with a blade fashioned from the lava of Mt. Gelmir.
An armament of the man-serpents, impossible for a human to have made.

Deals fire damage.",,,44,4,9,15,0,16,0,https://eldenring.fanapis.com/images/weapons/17f69908917l0i1os577fp2a0c8n8w.png
86,3,Flowing Curved Sword,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water.

Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",,,16,3.5,9,17,0,0,0,https://eldenring.fanapis.com/images/weapons/17f694e2077l0i1osqjan4fnttniyc.png
87,3,Wing of Astel,"Sword fashioned from a delicate wing, suffused with the magic of the stars.
Strong attack unleashes a wave of enchanted light.

Crafted from a relic of the Naturalborn of the Void who is said to have assailed the Eternal City.",,,45,2.5,7,17,20,0,0,https://eldenring.fanapis.com/images/weapons/17f695b60e8l0i1osrls9u8la9bek.png
88,3,Scavenger's Curved Sword,"Unique curved sword, notched like shark's teeth.
Weapon carried by corpse pillagers who prowl the sites of old battles.

The blade is tacky with blood and covered in hefty nicks, making it totally uneven. Life can be sinister indeed.",3,,16,3.5,9,14,0,0,0,https://eldenring.fanapis.com/images/weapons/17f69d7cf23l0i1osx8dg6r5dybhck.png
